usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,family,genus,species,kingdomKey,phylumKey,classKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
8953936,"Caiman crocodilus (Linnaeus, 1758)",Caiman crocodilus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Alligatoridae,Caiman,Caiman crocodilus,1,44,11493978,3238603,5220195,8953936,FALSE,Crocodylia,NA,Caiman crocodilus,1
2441329,"Crocodylus acutus (Cuvier, 1807)",Crocodylus acutus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Crocodylidae,Crocodylus,Crocodylus acutus,1,44,11493978,5685,2441321,2441329,FALSE,Crocodylia,NA,Crocodylus acutus,2
2468407,"Celestus cyanochloris Cope, 1894",Celestus cyanochloris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Diploglossidae,Celestus,Celestus cyanochloris,1,44,11592253,9487006,2468363,2468407,FALSE,Squamata,NA,Celestus cyanochloris,3
2468412,"Celestus hylaius Savage & Lips, 1993",Celestus hylaius,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Diploglossidae,Celestus,Celestus hylaius,1,44,11592253,9487006,2468363,2468412,FALSE,Squamata,NA,Celestus hylaius,4
2468366,"Celestus orobius Savage & Lips, 1993",Celestus orobius,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Diploglossidae,Celestus,Celestus orobius,1,44,11592253,9487006,2468363,2468366,FALSE,Squamata,NA,Celestus orobius,5
2468100,"Coloptychon rhombifer (Peters, 1876)",Coloptychon rhombifer,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Anguidae,Gerrhonotus,Gerrhonotus rhombifer,1,44,11592253,9198,2468204,2468101,TRUE,Squamata,2468101,Coloptychon rhombifer,6
2468239,"Diploglossus bilobatus (O'Shaughnessy, 1874)",Diploglossus bilobatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Diploglossidae,Diploglossus,Diploglossus bilobatus,1,44,11592253,9487006,2468244,2468239,FALSE,Squamata,NA,Diploglossus bilobatus,7
2468222,"Diploglossus monotropis (Kuhl, 1820)",Diploglossus monotropis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Diploglossidae,Diploglossus,Diploglossus monotropis,1,44,11592253,9487006,2468244,2468222,FALSE,Squamata,NA,Diploglossus monotropis,8
5226573,"Mesaspis monticola (Cope, 1877)",Mesaspis monticola,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Anguidae,Abronia,Abronia monticola,1,44,11592253,9198,2468137,11142707,TRUE,Squamata,11142707,Mesaspis monticola,9
5221813,"Basiliscus basiliscus (Linnaeus, 1758)",Basiliscus basiliscus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Corytophanidae,Basiliscus,Basiliscus basiliscus,1,44,11592253,9454,2448619,5221813,FALSE,Squamata,NA,Basiliscus basiliscus,10
